序号,产品名,当前轮次,成立日期,所属城市,产品介绍,所属企业,tag
5,因诺免疫,股权转让,2016-07-08,深圳市,因诺免疫是一家细胞免疫治疗技术研发商，基于基因工程等技术，研发包括肿瘤浸润淋巴细胞(TIL)疗法、嵌合抗原受体转导T(CAR-T)细胞疗法、T细胞受体转导T(TCR-T)细胞疗法等治疗方案，为肿瘤免疫治疗领域提供新方案。,深圳因诺免疫有限公司,星奕昂(上海)生物科技有限公司
6,翊博普惠,股权转让,2017-11-06,北京市,翊博普惠是一家从事免疫细胞基础研究和临床应用的企业，专注于免疫细胞抗癌、抗病毒研发。公司依托自有CelArtics®-DC技术平台，研制出活性极优的Tαβ细胞、Tγδ细胞、NK细胞等免疫效应细胞，以上细胞在肿瘤及病毒治疗中具有重要作用。,北京翊博普惠生物科技发展有限公司,星奕昂(上海)生物科技有限公司
7,乾境生物,B轮,2019-08-30,北京市,乾境生物成立于2019年，致力于以免疫细胞治疗为核心的细胞疗法研究和药物临床开发，通过细胞技术研发平台、药物研发平台、细胞自动化制备技术开发平台提供干细胞技术、免疫细胞技术基因工程技术等生物医学技术服务，守护人类的生命与健康。,乾境生物技术有限公司,星奕昂(上海)生物科技有限公司
8,尚泰生物,A轮,2012-11-20,上海市,尚泰生物成立于2012年，总部位于上海市，专注自体细胞治疗与存储技术，提供肿瘤个体化细胞免疫治疗、化疗药敏测试服务，应用于肿瘤医疗领域。,上海尚泰生物技术有限公司,星奕昂(上海)生物科技有限公司
9,沙砾生物,C轮,2019-11-26,北京市,沙砾生物成立于2019年，是一家专注于肿瘤免疫细胞治疗，以肿瘤浸润淋巴细胞（ “TIL”）药物为代表研发管线的创新型医药公司，拥有国际先进的技术储备和产业资源，旨在打造开创性的实体瘤细胞药物，为广大肿瘤病患带来新的希望。,北京沙砾生物医药股份有限公司,星奕昂(上海)生物科技有限公司
10,深圳再生,A轮,2016-01-13,深圳市,深圳再生汇汇聚临床医学、基因与遗传学、细胞生物学等多学科技术人才，细胞库标准建设，研发干细胞及其衍生物临床转化、免疫细胞在肿瘤方面的药物研究，承担省市级多项科技项目，获得发明专利十余项。,深圳再生细胞生物科技有限公司,星奕昂(上海)生物科技有限公司
11,博致生物,A+轮,2019-08-06,上海市,博致生物创立于2019年，由蛋白质工程和肿瘤免疫领域的顶尖专家团队组建，致力于开发新一代细胞因子抗肿瘤免疫疗法。公司自主研发了”Crossover”前药技术平台，能实现细胞因子在肿瘤微环境中特异性释放，有效解决了细胞因子的外周毒性问题。依托该平台技术，公司成功开发了临床候选药物PTX-912，已经启动美国1期临床试验。,博致生物科技（上海）有限公司,星奕昂(上海)生物科技有限公司
12,合一康,定向增发,2010-11-29,深圳市,合一康是一家肿瘤生物免疫细胞与基因技术研发服务商，自主研发的微环DNA载体技术是一种利用基因工程手段去除传统质粒（plasmid）的骨架（bac=kbone）DNA，仅保留其表达框（expression cassette）而形成的一种小环超螺旋（supercoiled）DNA载体（MC-DNA），用于T细胞克隆筛选和T细胞基因改造。,深圳市合一康生物科技股份有限公司,星奕昂(上海)生物科技有限公司
13,隆耀生物,天使轮,2013-09-16,上海市,隆耀生物致力于肿瘤免疫细胞技术及产品研发、产品技术转化、产品注册申报，是以研发及产品开发为主的国家高新科技企业，产品覆盖血液瘤、实体瘤等领域。,上海隆耀生物科技有限公司,星奕昂(上海)生物科技有限公司
14,Alloplex Biotherapeutics,A轮,2016-01-01,-,Alloplex Biotherapeutics是一家细胞治疗公司，成立于2016年，开发了一种高度分化、非工程化、与肿瘤无关的细胞治疗平台，具有广泛的抗肿瘤活性。临床前体外和动物模型数据表明，该平台适用于多种肿瘤类型。,-,星奕昂(上海)生物科技有限公司
15,华赛生物,未融资,2013-03-05,武汉市,华赛生物是一家专业致力于生物医药技术研究与应用的技术企业，拥有“免疫细胞临床应用、干细胞研究及应用”两大核心技术体系，业务包括免疫细胞治疗、干细胞应用、临床级细胞生产相关试剂、细胞移植优化及相关衍生产品的研发、生产、技术转让以及产品销售。华赛由留美归国的专家学者团队创办。,湖北华赛生物医药技术有限公司,星奕昂(上海)生物科技有限公司
16,康爱生物,股权融资,2012-09-10,嘉兴市,康爱生物是一家细胞治疗药物研发与商业化服务商，公司主要从事增强型CIK等各类型免疫细胞技术培养、各类细胞因子、各类免疫细胞处理试剂盒相关产品、高端个体化保健服务等业务。,康爱瑞浩生物医药（浙江）股份有限公司,星奕昂(上海)生物科技有限公司
17,五康生物,未融资,2011-04-20,北京市,五康生物是一家肿瘤细胞生物治疗研发商，拥有分子生物学、细胞免疫学及蛋白质发酵纯化等技术平台，致力于研发免疫细胞培养、肿瘤相关抗原、新型肿瘤疫苗、抗体制备及免疫细胞活性检测等技术与产品。,北京五康新兴科技有限公司,星奕昂(上海)生物科技有限公司
18,生创科技,股权转让,2015-06-30,杭州市,生创科技成立于2015年，总部位于杭州，是一家。业务包括：干细胞药物研发、“生命银行”细胞储存服务、免疫细胞治疗新技术开发与服务、难治性疾病管理和抗衰老产品开发。,浙江生创精准医疗科技有限公司,星奕昂(上海)生物科技有限公司
19,丹晖生物,未融资,2015-12-24,杭州市,丹晖生物是专业从事细胞生物治疗研发和临床转化为一体的高科技型企业，公司汇集国内外尖端生命科学技术，专注于肿瘤生物治疗技术的研发与临床转化。公司建立有国际标准化的GMP生物中心实验室，构筑了集研发，生产，转化为一体的高科技高新企业。,浙江丹晖生物科技有限公司,星奕昂(上海)生物科技有限公司
20,博生吉,B+轮,2010-05-31,苏州市,博生吉是一家肿瘤细胞免疫治疗技术及产品研发商，以肿瘤细胞免疫治疗技术与产品研发为主要发展目标，以临床技术服务为主要业务，研发范围包括癌症诊断试剂盒、抗癌药物、生物医药制品，致力于CAR-T/CAR-NK实体肿瘤/T细胞淋巴瘤临床治疗和细胞免疫治疗产业化。,博生吉医药科技（苏州）有限公司,星奕昂(上海)生物科技有限公司
1,门罗生物,股权转让,2016-03-29,北京市,门罗生物是一家以研发下一代细胞治疗药物为主的生物科技公司，公司致力于血液肿瘤、实体瘤和自身免疫性疾病的治疗。公司拥有斯坦福大学独家授权的相关技术专利，利用专有的两大平台技术：HF-CRISPR基因编辑技术以及通用型免疫细胞治疗技术，研发新型的细胞治疗产品。,北京门罗生物科技有限公司,上海跃赛生物科技有限公司
2,泽辉生物,B+轮,2017-12-26,苏州市,泽辉生物是一家创新型临床医药研发企业，致力于开发干细胞药物等新一代医疗健康产品。着眼于目前传统药物和治疗手段无法满足的人类医疗需求，如神经退行性病变、代谢性疾病、生殖机能退化等，开发拥有自主知识产权的干细胞药品，推动干细胞临床应用和产业转化。,苏州泽辉生物科技有限公司,上海跃赛生物科技有限公司
