序号,产品名,当前轮次,成立日期,所属城市,产品介绍,所属企业,tag
9,SITECH新特,A+轮,2017-09-01,贵阳市,新特汽车是一家新能源电动汽车研发商。拥有高效独立电动汽车全体系研发能力，依托国家大数据中心数据和智能资源优势，是国内新兴的全球化智能电动汽车设计研发制造企业以及全生态服务商。新特汽车创立之初就开始了全球化布局，目前已在贵安新区、北京、杭州、美国硅谷、意大利都灵等地设立了研发制造中心、企业资本中心、整车研发中心、车联网及智能驾驶研发中心和造型设计中心。,贵安新区新特电动汽车工业有限公司,蔚来控股有限公司
10,悠跑科技,B轮,2021-04-19,上海市,悠跑科技成立于2021年，是一家智能电动车研发商。致力于提供创新的电动智能汽车解决方案，其超级VAN系列凭借标准化、模块化的滑板底盘技术，已成为极具市场竞争力的突破性产品。通过提供极致标准化的UP超级底盘，可将整车研发有效缩短6-12个月，助力所有场景拥有者实现造车自由。,上海悠跑网络科技有限公司,蔚来控股有限公司
11,高合汽车,A轮,2020-06-19,上海市,高合汽车是一家纯电智能汽车研发及生产商，旗下拥有品牌“高合HiPhi”，搭载双冗余L3自动驾驶、360度环抱式全景行车环境感知系统等技术。,高合（上海）汽车售后服务有限公司,蔚来控股有限公司
12,途柚汽车,天使轮,2019-07-08,厦门市,途柚汽车是一个新能源电动汽车品牌，从城市通勤智能代步车细分领域切入互联网造车，对标特斯拉和蔚来的“车+能源网络”模式，定位高安全、高智能、高性价比可代步可远行的新能源智能汽车。通过车电分离的新能源智能汽车、兼容汽车和电动自行车的智能识别动力电池包以及智能新能源换电站，途柚智能汽车旨在构建“车+能源网络”的智慧绿色能源生态系统。,福建途柚新能源汽车集团有限公司,蔚来控股有限公司
13,帝亚一维,C轮,2017-02-25,宁波市,帝亚一维是一家电动汽车研发商，旗下研发出了紧凑型跨界SUV，其车身采用新型智能BMS算法，智能驾驶核心技术以及驱动系统的系统热、电、结构一体化集成，可实现快速充电功能。,帝亚一维新能源汽车有限公司,蔚来控股有限公司
14,哪吒汽车,Pre-IPO,2014-10-16,嘉兴市,哪吒汽车是合众汽车旗下汽车产品品牌，合众汽车是一家新能源汽车研发商，主要产品包括电动物流车、纯电动乘用车等，将电池、驱动系统、悬挂和碰撞防护功能在底盘中整合成一个独立的铝制结构，减轻车身自有重量，配以智能驾驶技术。,合众新能源汽车股份有限公司,蔚来控股有限公司
15,Future Mobility Corporation,B轮,2017-07-27,香港特别行政区,Future Mobility Corporation是一家互联网智能造车公司，致力于打造互联网+智能电动汽车。,Future Mobility Corporation Limited,蔚来控股有限公司
16,歌昂,未融资,-,-,歌昂是一家豪华电动汽车研发商，专注于从事新能源汽车的开发与设计，其产品将搭载智能化操作系统，并具有自动驾驶功能。通过与汽车设计服务商合作，预计首款概念车线条图即将发布。,-,蔚来控股有限公司
17,洛轲智能,D+轮,2021-01-08,上海市,洛轲智能是一家新能源智能汽车整车制造商，专注于提供汽车产品和服务，致力于通过在新能源动力、智能座舱、自动驾驶等领域的创新打造智能汽车，提升用户出行的体验，旗下拥有车辆的控制方法、装置、设备及介质、增程式热管理系统和增程式车辆等专利。,上海洛轲智能科技有限公司,蔚来控股有限公司
18,绿传科技,Pre-A轮,2019-12-24,北京市,绿传科技是一家新能源汽车驱动与传动系统研发商，致力于新能源汽车智能、高效动力总成产品研发、生产、销售及提供整车动力系统解决方案，一直聚焦于未来纯电动汽车变速器的研发与匹配。主营产品包括纯电动车两挡及多挡自动变速器、纯电动乘用车集成式电驱动总成、纯电动商用车电驱动车桥、P4混合动力总成及混合动力专用变速器。主营服务包括新能源汽车及传统车型动力传动系统的结构优化、性能提升、控制策略开发、匹配标定、对标评估等业务。,绿传（北京）汽车科技股份有限公司,蔚来控股有限公司
19,武汉蔚能电池,C轮,2020-08-18,武汉市,武汉蔚能电池成立于2020年8月，是蔚来汽车旗下的电池业务公司，致力于打造基于“车电分离”模式下的电池资产管理业务，通过电池租用服务BaaS，提供车电分离、电池租用、可充可换可升级的全面服务。用户在购车时不需购买电池包，根据自身实际使用需求选择租用不同容量的电池包，按月支付服务费，并且和电池购买用户一样，可享受换电服务和电池灵活升级服务。,武汉蔚能电池资产有限公司,蔚来控股有限公司
20,至星,种子轮,2022-09-27,北京市,至星是一家电动汽车品牌，集优秀设计、专业性能、智能科技于一体，主要从事高端电动越野车设计、制造业务。,至星（北京）信息技术有限公司,蔚来控股有限公司
1,理想汽车,IPO,2015-04-10,北京市,理想汽车是一家智能新能源汽车研发商，专注于提供智能交通工具研发和服务。计划推出两款产品：SEV将满足城市1~2人的短途出行，SUV则将满足家庭用户中长途的出行需要。,北京车和家信息技术有限公司,湖北芯擎科技股份有限公司
2,爱驰汽车,C轮,2017-02-15,上饶市,爱驰汽车是一家智能电动汽车制造商，专注于从事电动化模块平台、VCU整车控制器、电池包技术、电机系统等部件的研发与设计，帮助用户解决汽车充电问题。此外，现公司正进行人工智能、机器视觉、深度学习智能线控等技术在智能汽车领域的应用开发。,爱驰汽车有限公司,湖北芯擎科技股份有限公司
3,游侠汽车,B+轮,2017-05-11,上海市,游侠汽车是一家新成立的电动汽车技术公司。国内顶尖家发布完整纯电动概念汽车产品（YOUXIA X）的科技型企业，通过打造具有全新人车智能交互系统的高性能电动汽车，加速领跑全球可持续化能源梦想。,上海游侠汽车有限公司,湖北芯擎科技股份有限公司
4,零跑汽车,定向增发,2015-12-24,杭州市,零跑汽车成立于2015，是一家创新型的智能电动车企业，业务范围涵盖智能电动汽车整车设计、研发制造、智能驾驶、电机电控、电池系统开发，以及基于云计算的车联网解决方案等。,浙江零跑科技股份有限公司,湖北芯擎科技股份有限公司
5,智己汽车,B+轮,2020-12-25,上海市,智己汽车成立于2020年，是一家高端智能纯电汽车研发商，智己汽车打造全新的电子电器架构，从底层打通整车与驾乘体验高度相关的ECU控制器，将客户场景和汽车感知充分融合。,智己汽车科技有限公司,湖北芯擎科技股份有限公司
6,博郡汽车,A+轮,2016-12-13,南京市,博郡汽车是一家智能电动汽车研发商，依托于底盘平台、整车性能、三电技术、轻量化工艺及智能驾驶系统方案核心，专注于中高端电动汽车、智能汽车系统、车联网服务的设计与开发，致力于为用户提供安全可靠的智能电动汽车产品体验。,南京博郡新能源汽车有限公司,湖北芯擎科技股份有限公司
7,广汽埃安,A轮,2017-07-28,广州市,广汽埃安新能源是一家智联新能源汽车研发商，公司已经打造了纯电动汽车产品，后续将逐步导入其他轿车、SUV等纯电动车型。公司已经研发了GA3S PHEV、GS4 PHEV和纯电动的GE3三款车型。,广汽埃安新能源汽车股份有限公司,湖北芯擎科技股份有限公司
8,阿维塔科技,股权转让,2018-07-10,重庆市,阿维塔科技成立于2018年，致力于探索面向未来的人性化出行科技，为用户创造情感智能出行体验。作为智能电动汽车（SEV）新赛道的探索者，阿维塔科技致力于打造国际化高端SEV品牌。得益于长安汽车、华为、宁德时代，分别在整车研发智造、智能汽车解决方案和智慧能源生态领域为阿维塔科技赋能，三方共同开创全新一代智能电动汽车技术平台CHN，具备“新架构、强计算、高压充电”三大特征。基于全新的合作模式，阿维塔科技将SEV产业的核心能力真正掌握在了中国人自己手中。公司总部位于中国重庆，并在上海及德国慕尼黑设有分部。,阿维塔科技（重庆）股份有限公司,湖北芯擎科技股份有限公司
9,SITECH新特,A+轮,2017-09-01,贵阳市,新特汽车是一家新能源电动汽车研发商。拥有高效独立电动汽车全体系研发能力，依托国家大数据中心数据和智能资源优势，是国内新兴的全球化智能电动汽车设计研发制造企业以及全生态服务商。新特汽车创立之初就开始了全球化布局，目前已在贵安新区、北京、杭州、美国硅谷、意大利都灵等地设立了研发制造中心、企业资本中心、整车研发中心、车联网及智能驾驶研发中心和造型设计中心。,贵安新区新特电动汽车工业有限公司,湖北芯擎科技股份有限公司
10,悠跑科技,B轮,2021-04-19,上海市,悠跑科技成立于2021年，是一家智能电动车研发商。致力于提供创新的电动智能汽车解决方案，其超级VAN系列凭借标准化、模块化的滑板底盘技术，已成为极具市场竞争力的突破性产品。通过提供极致标准化的UP超级底盘，可将整车研发有效缩短6-12个月，助力所有场景拥有者实现造车自由。,上海悠跑网络科技有限公司,湖北芯擎科技股份有限公司
11,高合汽车,A轮,2020-06-19,上海市,高合汽车是一家纯电智能汽车研发及生产商，旗下拥有品牌“高合HiPhi”，搭载双冗余L3自动驾驶、360度环抱式全景行车环境感知系统等技术。,高合（上海）汽车售后服务有限公司,湖北芯擎科技股份有限公司
12,途柚汽车,天使轮,2019-07-08,厦门市,途柚汽车是一个新能源电动汽车品牌，从城市通勤智能代步车细分领域切入互联网造车，对标特斯拉和蔚来的“车+能源网络”模式，定位高安全、高智能、高性价比可代步可远行的新能源智能汽车。通过车电分离的新能源智能汽车、兼容汽车和电动自行车的智能识别动力电池包以及智能新能源换电站，途柚智能汽车旨在构建“车+能源网络”的智慧绿色能源生态系统。,福建途柚新能源汽车集团有限公司,湖北芯擎科技股份有限公司
13,帝亚一维,C轮,2017-02-25,宁波市,帝亚一维是一家电动汽车研发商，旗下研发出了紧凑型跨界SUV，其车身采用新型智能BMS算法，智能驾驶核心技术以及驱动系统的系统热、电、结构一体化集成，可实现快速充电功能。,帝亚一维新能源汽车有限公司,湖北芯擎科技股份有限公司
14,哪吒汽车,Pre-IPO,2014-10-16,嘉兴市,哪吒汽车是合众汽车旗下汽车产品品牌，合众汽车是一家新能源汽车研发商，主要产品包括电动物流车、纯电动乘用车等，将电池、驱动系统、悬挂和碰撞防护功能在底盘中整合成一个独立的铝制结构，减轻车身自有重量，配以智能驾驶技术。,合众新能源汽车股份有限公司,湖北芯擎科技股份有限公司
15,Future Mobility Corporation,B轮,2017-07-27,香港特别行政区,Future Mobility Corporation是一家互联网智能造车公司，致力于打造互联网+智能电动汽车。,Future Mobility Corporation Limited,湖北芯擎科技股份有限公司
16,歌昂,未融资,-,-,歌昂是一家豪华电动汽车研发商，专注于从事新能源汽车的开发与设计，其产品将搭载智能化操作系统，并具有自动驾驶功能。通过与汽车设计服务商合作，预计首款概念车线条图即将发布。,-,湖北芯擎科技股份有限公司
17,洛轲智能,D+轮,2021-01-08,上海市,洛轲智能是一家新能源智能汽车整车制造商，专注于提供汽车产品和服务，致力于通过在新能源动力、智能座舱、自动驾驶等领域的创新打造智能汽车，提升用户出行的体验，旗下拥有车辆的控制方法、装置、设备及介质、增程式热管理系统和增程式车辆等专利。,上海洛轲智能科技有限公司,湖北芯擎科技股份有限公司
18,绿传科技,Pre-A轮,2019-12-24,北京市,绿传科技是一家新能源汽车驱动与传动系统研发商，致力于新能源汽车智能、高效动力总成产品研发、生产、销售及提供整车动力系统解决方案，一直聚焦于未来纯电动汽车变速器的研发与匹配。主营产品包括纯电动车两挡及多挡自动变速器、纯电动乘用车集成式电驱动总成、纯电动商用车电驱动车桥、P4混合动力总成及混合动力专用变速器。主营服务包括新能源汽车及传统车型动力传动系统的结构优化、性能提升、控制策略开发、匹配标定、对标评估等业务。,绿传（北京）汽车科技股份有限公司,湖北芯擎科技股份有限公司
19,武汉蔚能电池,C轮,2020-08-18,武汉市,武汉蔚能电池成立于2020年8月，是蔚来汽车旗下的电池业务公司，致力于打造基于“车电分离”模式下的电池资产管理业务，通过电池租用服务BaaS，提供车电分离、电池租用、可充可换可升级的全面服务。用户在购车时不需购买电池包，根据自身实际使用需求选择租用不同容量的电池包，按月支付服务费，并且和电池购买用户一样，可享受换电服务和电池灵活升级服务。,武汉蔚能电池资产有限公司,湖北芯擎科技股份有限公司
20,至星,种子轮,2022-09-27,北京市,至星是一家电动汽车品牌，集优秀设计、专业性能、智能科技于一体，主要从事高端电动越野车设计、制造业务。,至星（北京）信息技术有限公司,湖北芯擎科技股份有限公司
1,复睿微电子,Pre-A轮,2022-01-27,合肥市,复睿微电子是一家高性能芯片研发商，专注于为汽车电子、人工智能、通用计算等领域提供以高性能芯片为基础的解决方案，主要从事汽车智能座舱、ADAS芯片研发，以前沿的芯片设计能力和人工智能算法。,合肥复睿微电子有限公司,上海星思半导体股份有限公司
2,比科奇微电子,C+轮,2019-09-02,杭州市,比科奇微电子成立于2019年9月，总部位于杭州，是全球技术先进的基带芯片科技企业。公司为5G/5.5G/6G/卫星通信设备商提供高性能低功耗可编程的系统级基带芯片（SoC）和电信级软件，以及适用于各场景的基带板卡和解决方案，为空天地一体化通信提供底层算力。比科奇的核心产品可实现“一芯多用”，覆盖无人机低空通信、卫星互联网NTN通信、地面4G/5G移动通信、工业互联网、车联网等多元场景，已获工信部“芯片自主可控认证”，产品进入国内头部卫星运营商、三大通信运营商供应链体系。,比科奇微电子（杭州）有限公司,上海星思半导体股份有限公司
3,汇芯通信,股权转让,2019-03-29,深圳市,汇芯通信是一家5G高频器件生产商，集5G技术研发、人才培养、平台搭建、产学研合作于一体，专注于为用户提供毫米波器件等产品，广泛应用于半导体、通信等领域。,深圳市汇芯通信技术有限公司,上海星思半导体股份有限公司
4,优镓科技,A轮,2019-10-28,苏州市,优镓科技是一家专注于高性能射频氮化镓功率放大器的芯片设计公司，以先进的高效线性功放芯片电路设计方法和经验积累为核心，使用第三代半导体氮化镓材料，自主研发面向5G通信、卫星通讯等应用领域的射频功放芯片。,苏州优镓半导体科技有限公司,上海星思半导体股份有限公司
5,速通半导体,A+轮,2018-07-18,苏州市,速通半导体是一家无晶圆半导体研发生产商，主要经营范围是半导体集成电路的研发、设计、销售；研发、销售芯片；电子产品、仪表仪器、机械设备的销售；通信科技技术、软件科技领域内的技术开发、技术咨询、技术服务等。专注于发展下一代无线片上系统的无晶圆半导体。,苏州速通半导体科技有限公司,上海星思半导体股份有限公司
1,复睿微电子,Pre-A轮,2022-01-27,合肥市,复睿微电子是一家高性能芯片研发商，专注于为汽车电子、人工智能、通用计算等领域提供以高性能芯片为基础的解决方案，主要从事汽车智能座舱、ADAS芯片研发，以前沿的芯片设计能力和人工智能算法。,合肥复睿微电子有限公司,上海星环聚能科技有限公司
2,比科奇微电子,C+轮,2019-09-02,杭州市,比科奇微电子成立于2019年9月，总部位于杭州，是全球技术先进的基带芯片科技企业。公司为5G/5.5G/6G/卫星通信设备商提供高性能低功耗可编程的系统级基带芯片（SoC）和电信级软件，以及适用于各场景的基带板卡和解决方案，为空天地一体化通信提供底层算力。比科奇的核心产品可实现“一芯多用”，覆盖无人机低空通信、卫星互联网NTN通信、地面4G/5G移动通信、工业互联网、车联网等多元场景，已获工信部“芯片自主可控认证”，产品进入国内头部卫星运营商、三大通信运营商供应链体系。,比科奇微电子（杭州）有限公司,上海星环聚能科技有限公司
3,汇芯通信,股权转让,2019-03-29,深圳市,汇芯通信是一家5G高频器件生产商，集5G技术研发、人才培养、平台搭建、产学研合作于一体，专注于为用户提供毫米波器件等产品，广泛应用于半导体、通信等领域。,深圳市汇芯通信技术有限公司,上海星环聚能科技有限公司
4,优镓科技,A轮,2019-10-28,苏州市,优镓科技是一家专注于高性能射频氮化镓功率放大器的芯片设计公司，以先进的高效线性功放芯片电路设计方法和经验积累为核心，使用第三代半导体氮化镓材料，自主研发面向5G通信、卫星通讯等应用领域的射频功放芯片。,苏州优镓半导体科技有限公司,上海星环聚能科技有限公司
5,速通半导体,A+轮,2018-07-18,苏州市,速通半导体是一家无晶圆半导体研发生产商，主要经营范围是半导体集成电路的研发、设计、销售；研发、销售芯片；电子产品、仪表仪器、机械设备的销售；通信科技技术、软件科技领域内的技术开发、技术咨询、技术服务等。专注于发展下一代无线片上系统的无晶圆半导体。,苏州速通半导体科技有限公司,上海星环聚能科技有限公司
1,复睿微电子,Pre-A轮,2022-01-27,合肥市,复睿微电子是一家高性能芯片研发商，专注于为汽车电子、人工智能、通用计算等领域提供以高性能芯片为基础的解决方案，主要从事汽车智能座舱、ADAS芯片研发，以前沿的芯片设计能力和人工智能算法。,合肥复睿微电子有限公司,能量奇点能源科技(上海)有限公司
2,比科奇微电子,C+轮,2019-09-02,杭州市,比科奇微电子成立于2019年9月，总部位于杭州，是全球技术先进的基带芯片科技企业。公司为5G/5.5G/6G/卫星通信设备商提供高性能低功耗可编程的系统级基带芯片（SoC）和电信级软件，以及适用于各场景的基带板卡和解决方案，为空天地一体化通信提供底层算力。比科奇的核心产品可实现“一芯多用”，覆盖无人机低空通信、卫星互联网NTN通信、地面4G/5G移动通信、工业互联网、车联网等多元场景，已获工信部“芯片自主可控认证”，产品进入国内头部卫星运营商、三大通信运营商供应链体系。,比科奇微电子（杭州）有限公司,能量奇点能源科技(上海)有限公司
3,汇芯通信,股权转让,2019-03-29,深圳市,汇芯通信是一家5G高频器件生产商，集5G技术研发、人才培养、平台搭建、产学研合作于一体，专注于为用户提供毫米波器件等产品，广泛应用于半导体、通信等领域。,深圳市汇芯通信技术有限公司,能量奇点能源科技(上海)有限公司
4,优镓科技,A轮,2019-10-28,苏州市,优镓科技是一家专注于高性能射频氮化镓功率放大器的芯片设计公司，以先进的高效线性功放芯片电路设计方法和经验积累为核心，使用第三代半导体氮化镓材料，自主研发面向5G通信、卫星通讯等应用领域的射频功放芯片。,苏州优镓半导体科技有限公司,能量奇点能源科技(上海)有限公司
5,速通半导体,A+轮,2018-07-18,苏州市,速通半导体是一家无晶圆半导体研发生产商，主要经营范围是半导体集成电路的研发、设计、销售；研发、销售芯片；电子产品、仪表仪器、机械设备的销售；通信科技技术、软件科技领域内的技术开发、技术咨询、技术服务等。专注于发展下一代无线片上系统的无晶圆半导体。,苏州速通半导体科技有限公司,能量奇点能源科技(上海)有限公司
1,复睿微电子,Pre-A轮,2022-01-27,合肥市,复睿微电子是一家高性能芯片研发商，专注于为汽车电子、人工智能、通用计算等领域提供以高性能芯片为基础的解决方案，主要从事汽车智能座舱、ADAS芯片研发，以前沿的芯片设计能力和人工智能算法。,合肥复睿微电子有限公司,上海泰氢晨能源科技有限公司
2,比科奇微电子,C+轮,2019-09-02,杭州市,比科奇微电子成立于2019年9月，总部位于杭州，是全球技术先进的基带芯片科技企业。公司为5G/5.5G/6G/卫星通信设备商提供高性能低功耗可编程的系统级基带芯片（SoC）和电信级软件，以及适用于各场景的基带板卡和解决方案，为空天地一体化通信提供底层算力。比科奇的核心产品可实现“一芯多用”，覆盖无人机低空通信、卫星互联网NTN通信、地面4G/5G移动通信、工业互联网、车联网等多元场景，已获工信部“芯片自主可控认证”，产品进入国内头部卫星运营商、三大通信运营商供应链体系。,比科奇微电子（杭州）有限公司,上海泰氢晨能源科技有限公司
3,汇芯通信,股权转让,2019-03-29,深圳市,汇芯通信是一家5G高频器件生产商，集5G技术研发、人才培养、平台搭建、产学研合作于一体，专注于为用户提供毫米波器件等产品，广泛应用于半导体、通信等领域。,深圳市汇芯通信技术有限公司,上海泰氢晨能源科技有限公司
4,优镓科技,A轮,2019-10-28,苏州市,优镓科技是一家专注于高性能射频氮化镓功率放大器的芯片设计公司，以先进的高效线性功放芯片电路设计方法和经验积累为核心，使用第三代半导体氮化镓材料，自主研发面向5G通信、卫星通讯等应用领域的射频功放芯片。,苏州优镓半导体科技有限公司,上海泰氢晨能源科技有限公司
5,速通半导体,A+轮,2018-07-18,苏州市,速通半导体是一家无晶圆半导体研发生产商，主要经营范围是半导体集成电路的研发、设计、销售；研发、销售芯片；电子产品、仪表仪器、机械设备的销售；通信科技技术、软件科技领域内的技术开发、技术咨询、技术服务等。专注于发展下一代无线片上系统的无晶圆半导体。,苏州速通半导体科技有限公司,上海泰氢晨能源科技有限公司
1,考克利尔竞立,股权融资,2018-12-26,苏州市,考克利尔竞立致力于提供全球一流的绿色氢能制取解决方案。2019年，比利时考克利尔集团在承接了苏州竞立制氢设备有限公司全部的人员和知识产权的基础上，增大研发力量，增添设备，并扩大了产能成立了国际化品牌考克利尔竞立，并将考克利尔竞立定位为考克利尔集团氢能业务在中国区的总部。,考克利尔竞立（苏州）氢能科技有限公司,上海毅镤新能源科技有限公司
2,阳光氢能,A轮,2021-06-18,合肥市,阳光氢能是阳光电源子公司，自主研发、生产PWM制氢电源、碱性电解槽、PEM电解槽、分离纯化系统及智慧氢能管理系统。阳光氢能建成国内前沿的20MW电解水制氢系统综合测试平台、可再生能源柔性制氢及氢储能发电实证平台、产品研发中心、制氢材料研究中心，以及全球前沿的制氢装备制造工厂。,阳光氢能科技有限公司,上海毅镤新能源科技有限公司
3,本德新能源,未融资,2018-11-23,嘉兴市,本德是一家世界级制氢技术供应商，为合作伙伴提供前沿的、为中国清洁科技打造的氢能解决方案，致力于推进并实现氢气发生器和氢气提纯器的商业化。,浙江本德新能源科技有限公司,上海毅镤新能源科技有限公司
4,淳华氢能,未融资,2015-06-15,东莞市,淳华氢能科技股份有限公司成立于2015年6月15日，是一家从事氢能源产业开发的高科技企业，主要致力于PEM电解水制氢技术、储氢技术和氢能应用产品的开发、设备的生产和销售，氢能行业产业链的投资整合以及氢能小镇、氢能环保城市的基础设施建设。公司位于广东省东莞市松山湖国家高新技术开发区，现有强大的技术研发团队，在各自领域都有着丰富的经验和影响力。,淳华氢能科技股份有限公司,上海毅镤新能源科技有限公司
5,绿萌氢能,天使轮,2014-09-24,苏州市,绿萌氢能是一个制氢及氢能设备研发商，公司致力于氢能全生态的整合，产品覆盖“可再生能源制氢(气)一体化解决方案”、水电解制氢设备、制氢设备、氢能储存系统、氢燃料电池备用电源以及氢气加注系统等。,苏州绿萌氢能科技有限公司,上海毅镤新能源科技有限公司
6,锦美氢源,天使轮,2021-05-17,天津市,锦美氢源成立于2021年5月，位于天津市，致力于绿氢高端装备制造，主要产品包括集中式、分布式、可移动式、微型制氢设备及氢能应用系统解决方案，应用于制加氢一体站、天然气掺氢、绿氢化工、氢冶金、实验室用氢等行业。,天津锦美氢源科技发展有限公司,上海毅镤新能源科技有限公司
7,HydrogenPro,未融资,2013-01-01,-,HydrogenPro成立于2013年，是一家大型绿色制氢工厂高压碱性电解槽系统的原始设备制造商，开创绿色氢能技术解决方案。,-,上海毅镤新能源科技有限公司
8,安思卓新能源,未融资,2017-06-02,南通市,公司拥有世界前沿的新能源水电解制氢技术、光解催化制氢技术、氢燃料电池应用技术和常温常压储氢技术等，覆盖了氢能源制备、储运和应用等核心环节。,南通安思卓新能源有限公司,上海毅镤新能源科技有限公司
9,Ohmium,C轮,-,-,Ohmium是美国一家绿色氢能服务商，专注于设计和制造聚合物电解质膜电解槽，能够生产加压高纯度氢气，主要通过电解槽技术设计和建造氢气生产设施，致力于为制氢设施设计、建造和提供运营和维护服务。,-,上海毅镤新能源科技有限公司
10,中电制氢,未融资,2008-09-25,扬州市,中电制氢是一家水电解制氢设备研发商，提供SDQ经济型制氢设备、SDQ节能增安型制氢设备、SDQ-W无石棉系列制氢设备、CHE一体机、CHE柜机、各种氢气回收设备等系列产品。,中集中电（扬州）制氢设备有限公司,上海毅镤新能源科技有限公司
11,海德明能,B+轮,2021-12-08,南京市,海德明能成立于2021年，是一家可再生能源制氢储能服务商。面向碳中和愿景而生，致力于引领绿氢行业技术创新，以值得信赖的先进产品和数字化平台服务，为全球新能源应用提供绿氢制取、氢储能及氢安全解决方案。,海德明能（南京）新能源科技有限公司,上海毅镤新能源科技有限公司
12,华秦新能源,未融资,2010-04-26,西安市,华秦新能源成立于2010年，是一家水电解制氢装备服务提供商，从事水电解制氢装备研发、生产、销售及氢能营运，专业提供制氢、纯化、储氢、运氢、加氢及氢能数据管理的一站式解决方案。,陕西华秦新能源科技有限责任公司,上海毅镤新能源科技有限公司
13,Oort Energy,种子轮,-,-,Oort Energy利用专利的聚合物电解质膜（PEM）电解槽技术制造氢电解槽，从而降低绿色制氢成本。该公司的产品旨在从水和可再生电力中生产清洁氢气。,-,上海毅镤新能源科技有限公司
14,氢锐科技,天使轮,2022-07-14,上海市,氢锐科技是一家氢气制造服务商，围绕PEM电解水制氢的新材料、新结构、新方法与新技术建设研发中心，为下一代PEM电解水制氢产品开发作技术准备。,上海氢锐科技有限公司,上海毅镤新能源科技有限公司
15,亿孚氢能,天使+轮,2020-09-21,嘉兴市,亿孚氢能成立于2020年，是一家集设计、研发、生产、销售为一体的科技创新型技术企业，拥有独立的知识产权和完备的技术团队。公司致力于构建新型绿色能源基础设施，深度融合数字化创新科技，为清洁能源的发展及能源数字化提供持续动力。公司业务覆盖AEM电解水制氢设备、SOEC/SOFC、IGFC/IGCC、燃料电池等多个行业，专注于为客户提供专业的氢能全产业链系统解决方案、多元能源耦合解决方案、多元零碳动力解决方案等。,浙江亿孚氢能装备有限公司,上海毅镤新能源科技有限公司
16,清能新能源,A轮,2020-10-12,佛山市,清能新能源成立于2020年10月，是全球氢能一体化设备提供商，专注于氢能技术在氢气制取以及应用端的研发与商业化推广。主营业务覆盖电解水制氢、燃料电池及氢能装备三大板块。,广东清能新能源技术有限公司,上海毅镤新能源科技有限公司
17,瑞麟科技,股权转让,2008-06-17,深圳市,瑞麟科技成立于2008年，总部位于中国深圳，专注于绿色清洁能源领域的研究，氢气发生器的制造及各领域用氢解决方案。,深圳市瑞麟科技有限公司,上海毅镤新能源科技有限公司
18,俊瑞绿氢能源,未融资,2023-02-21,乌鲁木齐市,俊瑞绿氢能源以“1+N”绿氢相关产业布局，定位以“绿电规模化制绿氢(可再生能源发电离网运行电解水制氢)”为主业，多元化投资运营“风电及光伏、零碳制氢园区、 绿氢消纳应用、绿氢输送（西氢东输管道）、氢能智慧化管理平台，以及荒漠化土地治理、林光农牧生态一体化发展” 等，致力于依托新疆资源禀赋和产业特点，发展低碳绿色产业，助力国家生态文明建设。,俊瑞绿氢能源（集团）有限公司,上海毅镤新能源科技有限公司
19,翌晶能源,Pre-A轮,2020-09-24,上海市,翌晶能源成立于2020年，位于上海嘉定区，专注于绿色高效的可再生能源制氢系统的开发，主要业务包括：固体氧化物燃料电池的核心元件和关键材料、SOEC电解制氢系统、SOFC发电系统、SOFC/SOEC联用储能调峰系统和新型电化学工厂电解生产设备，并提供氢能与风电光伏等可再生能源系统相互耦合的综合能源系统解决方案。,上海翌晶能源技术有限公司,上海毅镤新能源科技有限公司
20,鑫思创氢能,A轮,2020-11-23,苏州市,鑫思创氢能成立于2020年，专注于氢能源技术研发与应用实践，充分融合风电、光伏、水电等非碳排放新能源，布局氢能领域的绿色电力、绿色交通、绿色化工；聚焦氢能技术研发与产品制造工艺，可再生能源制氢储能、氢能源综合联供、绿氢链能化产品（零碳合成氨、绿色甲醇）等，打造氢能源制、储、运、加、用全产业链发展模式。,苏州鑫思创氢能源科技有限公司,上海毅镤新能源科技有限公司
1,源正细胞,未融资,2013-07-11,深圳市,源正细胞是一家细胞治疗技术研发商，主要从事细胞治疗技术研究开发和技术服务，主要开展抗肿瘤、抗病毒、抗衰老等各类免疫细胞治疗技术和以细胞为载体的基因治疗技术的研究推广。,深圳源正细胞医疗技术有限公司,恒瑞源正(上海)生物科技股份有限公司
2,卡提医学,A+轮,2017-07-05,南京市,卡提医学是一家专注于免疫细胞治疗新技术研发与应用的高科技公司，拥有创新型CAR结构设计、病毒及细胞培养等高壁垒的技术平台。,南京卡提医学科技有限公司,恒瑞源正(上海)生物科技股份有限公司
3,华大吉诺因,A+轮,2017-02-16,武汉市,华大吉诺因是一家肿瘤免疫细胞治疗研发商，致力于肿瘤免疫细胞治疗技术的研发，通过利用生命数字化技术，全方位激发人体免疫系统对抗肿瘤的活力，并开发靶向肿瘤特异抗原的预防与治疗方案。,武汉华大吉诺因生物科技有限公司,恒瑞源正(上海)生物科技股份有限公司
4,茂行生物,A轮,2020-12-25,宁波市,苏州茂行生物科技有限公司主要从事细胞治疗技术领域内的技术开发、服务、咨询等。以肿瘤细胞免疫治疗技术与产品研发为主要发展目标、以临床技术服务为主要业务的高科技企业。,宁波茂行生物医药科技有限公司,恒瑞源正(上海)生物科技股份有限公司
